"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","3,590","3,301","15.75%"
"Central Mississippi Correctional Facility","3,750","3,557","16.97%"
"South Mississippi Correctional Institution","3,082","3,035","14.48%"
"Youthful Offender Facility","58","35","0.17%"
"County Jails - Approved","1,781","712","3.40%"
"County Jails - Unapproved","0","327","1.56%"
"Community Work Centers","1,154","666","3.18%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,633","55.50%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","239","1.14%"
"Bolivar County Correctional Facility","369","291","1.39%"
"Carroll County Correctional Facility","280","269","1.28%"
"Chickasaw County Correctional Facility","310","245","1.17%"
"George County Correctional Facility","280","198","0.94%"
"Holmes County Correctional Facility","280","202","0.96%"
"Issaquena County Correctional Facility","274","264","1.26%"
"Jefferson County Correctional Facility","280","269","1.28%"
"Kemper County Correctional Facility","355","259","1.24%"
"Leake County Correctional Facility","280","264","1.26%"
"Marion County Correctional Facility","280","270","1.29%"
"Stone County Correctional Facility","326","204","0.97%"
"Washington County Correctional Facility","300","200","0.95%"
"Winston County Correctional Facility","280","262","1.25%"
"Yazoo County Correctional Facility","300","240","1.14%"
"TOTAL REGIONAL FACILITIES","4,494","3,676","17.54%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,304","6.22%"
"Marshall County Correctional Facility","1,000","996","4.75%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","949","4.53%"
"TOTAL PRIVATE PRISONS","5,972","3,249","15.50%"
