"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,673","70.05%","1,212","56.77%","15,885","68.82%"
"White","6,122","29.23%","903","42.30%","7,025","30.44%"
"Hispanic","102","0.49%","9","0.42%","111","0.48%"
"Native American","27","0.13%","4","0.19%","31","0.13%"
"Asian","21","0.10%","","0.33%","28","0.12%"
"Data Unavailable","1","0.00%","7 0","0.00%","1","0.00%"
"TOTAL","20,946","100.00%","2,135","100.00%","23,081","100.00%"
