"% OF TOTAL OFFENSES","34.71%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,766"
"Lifers","","1,649"
"Habitual Offenders","","1,036"
"Habitual Lifers","","161"
"Death Row","","68"
