"% OF TOTAL OFFENSES","34.20%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,752"
"Lifers","","1,657"
"Habitual Offenders","","973"
"Habitual Lifers","","151"
"Death Row","","69"
