"% OF TOTAL OFFENSES","32.73%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,626"
"Lifers","","1,651"
"Habitual Offenders","","907"
"Habitual Lifers","","131"
"Death Row","","69"
