"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,591","59.42%","366","29.16%","4,957","55.19%"
"White","3,065","817.00%","877","69.88%","3,942","43.89%"
"Hispanic","32",".41%","6",".48%","38",".42%"
"Native American","11",".14%","3",".24%","14",".16%"
"Asian","24",".31%","3",".24%","27",".30%"
"Data Unavailable","3",".04%","0",".00%","3",".03%"
"TOTAL","7,726","100.00%","1,255","100.00%","8,981","100.00%"
