"TOTAL"
"3,276"
"2,548"
"2,685"
"690"
"343"
"26"
"3,919"
"3,571"
"1,105"
"11"
"86"
"261"
"18,521"
"840"
"848"
"14"
"520"
"27"
"2"
"20,772"
"100.00%"
