"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","13,694","59.47%","3,245","47.53%","16,939","56.74%"
"White","8,964","38.93%","3,485","51.05%","12,449","41.70%"
"Hispanic","160",".69%","31",".45%","191",".64%"
"Native American","26",".11%","6",".09%","32",".11%"
"Asian","83",".36%","18",".26%","101",".34%"
"Data Unavailable","100",".43%","42",".62%","142",".48%"
"TOTAL","23,027","100.00%","6,827","100.00%","29,854","100.00%"
