"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,435","3,912","30.03%"
"Central Mississippi Correctional Facility","3,665","3,008","23.09%"
"South Mississippi Correctional Institution","3,204","3,084","23.68%"
"County Jails - Approved*","1,466","1,083","8.31%"
"County Jails - Unapproved**","0","199","1.53%"
"Community Work Centers","1,848","1,739","13.35%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,618","13,025","100.00%"
"Bolivar County Correctional Facility","294","255","9.37%"
"Carroll County Correctional Facility","280","242","8.89%"
"George County Correctional Facility","280","240","8.82%"
"Holmes County Correctional Facility","280","239","8.78%"
"Issaquena County Correctional Facility","274","236","8.67%"
"Jefferson County Correctional Facility","280","240","8.82%"
"Kemper County Correctional Facility","355","307","11.28%"
"Leake County Correctional Facility","280","241","8.86%"
"Marion County Correctional Facility","280","241","8.86%"
"Stone County Correctional Facility","280","241","8.86%"
"Winston County Correctional Facility","280","239","8.78%"
"TOTAL REGIONAL FACILITIES","3,163","2,721","100.00%"
"Delta Correctional Facility","972","896","17.21%"
"East MS Correctional Facility","1,500","1,264","24.28%"
"Marshall County Correctional Facility","1,000","899","17.27%"
"Walnut Grove Correctional Facility","1,500","1,199","23.03%"
"Wilkinson County Correctional Facility","1,000","948","18.21%"
"TOTAL PRIVATE PRISONS","5,972","5,206","100.00%"
"Community Trusties","2","16","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","74","0.30%"
"Court Order","0","257","1.05%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,775","21,299","86.82%"
"Intensive Supervision Program","0","1,440","5.87%"
"Earned Release Supervision Program","","1,348","5.49%"
"Medical Release","00","36","0.15%"
"TOTAL COMMUNITY CORRECTIONS","00","2,824","11.51%"
"Other Custody","","349","1.42%"
"Off-Grounds Medical (Hospital)","0","17","0.07%"
"At Large (Escapees & Walk-Aways)","0","43","0.18%"
"TOTAL","23,775","24,532","100.00%"
