"% OF TOTAL OFFENSES","32.92%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,935"
"Lifers","","1,634"
"Habitual Offenders","","1,317"
"Habitual Lifers","","201"
"Death Row","","60"
