"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,627","4,089","29.60%"
"Central Mississippi Correctional Facility","3,665","3,459","25.04%"
"South Mississippi Correctional Institution","3,204","3,124","22.62%"
"County Jails - Approved*","1,722","1,203","8.71%"
"County Jails - Unapproved**","0","197","1.43%"
"Community Work Centers","1,848","1,741","12.60%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,066","13,813","100.00%"
"Bolivar County Correctional Facility","294","279","9.50%"
"Carroll County Correctional Facility","280","268","9.13%"
"George County Correctional Facility","280","266","9.06%"
"Holmes County Correctional Facility","280","272","9.26%"
"Issaquena County Correctional Facility","274","259","8.82%"
"Jefferson County Correctional Facility","280","263","8.96%"
"Kemper County Correctional Facility","280","265","9.03%"
"Leake County Correctional Facility","280","265","9.03%"
"Marion County Correctional Facility","280","267","9.09%"
"Stone County Correctional Facility","280","265","9.03%"
"Winston County Correctional Facility","280","267","9.09%"
"TOTAL REGIONAL FACILITIES","3,088","2,936","100.00%"
"Delta Correctional Facility","972","954","17.37%"
"East MS Correctional Facility","1,500","1,357","24.71%"
"Marshall County Correctional Facility","1,000","981","17.86%"
"Walnut Grove Correctional Facility","1,500","1,223","22.27%"
"Wilkinson County Correctional Facility","1,000","977","17.79%"
"TOTAL PRIVATE PRISONS","5,972","5,492","100.00%"
"Community Trusties","02
2","19","0.07%"
"Emergency Suspension","","0","0.00%"
"Pending File Review","0","121","0.46%"
"Court Order","0","318","1.22%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,148","22,699","87.13%"
"Intensive Supervision Program","0","1,145","4.39%"
"Earned Release Supervision Program","00","1,788","6.86%"
"Medical Release","","37","0.14%"
"TOTAL COMMUNITY CORRECTIONS","00","2,970","11.40%"
"Other Custody","","324","1.24%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","53","0.20%"
"TOTAL","24,148","26,053","100.00%"
