"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","5,876","16.69%"
"Probation - Compact","1,228","3.49%"
"Probation - Nonadjudicated","3,575","10.15%"
"Probation - Post Release","15,159","43.06%"
"TVC Probation","134","0.38%"
"PROBATION TOTAL","25,972","73.77%"
"Parole","7,265","20.63%"
"Parole - Compact","564","1.60%"
"Parole - Suspension","0","0.00%"
"TVC Parole","78","0.22%"
"PAROLE TOTAL","7,907","22.46%"
"Intensive Supervision Program - Court","721","2.05%"
"Intensive Supervision Program - Prison","24","0.07%"
"Earned Release Supervision","569","1.62%"
"Medical Release","13","0.04%"
"Conditional Release","2","0.006%"
"COMMUNITY INMATE TOTAL","1,329","6.69%"
"TOTAL","35,208","100.00%"
