"% OF TOTAL OFFENSES","36.05%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,816"
"Lifers","","1,670"
"Habitual Offenders","","1,128"
"Habitual Lifers","","175"
"Death Row","","65"
