"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,300","59.95%","2,664","48.33%","13,964","57.32%"
"White","7,238","38.40%","2,773","50.31%","10,011","41.09%"
"Hispanic","122","0.65%","16","0.29%","138","0.57%"
"Native American","21","0.11%","6","0.11%","27","0.11%"
"Asian","53","0.28%","10","0.18%","63","0.26%"
"Data Unavailable","116","0.62%","43","0.78%","159","0.65%"
"TOTAL","18,850","100.00%","5,512","100.00%","24,362","100.00%"
