"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","","MONTHLY FACT SHEET","",""
"","","","As of  May 1, 2004","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS","","",""
"Probation","19,005","67.94%","","",""
"Compact Probation","1,061","3.79%","","",""
"Nonadjudicated","541","1.93%","","",""
"Post Release","1,150","4.11%","","",""
"","21,757","77.78%","Probation Total","",""
"Parole","1,927","6.89%","","",""
"Compact Parole","406","1.45%","","",""
"Suspension","0","0.00%","","",""
"","2,333","8.34%","Parole Total","",""
"Intensive Supervision Program - Court","1,998","7.14%","","",""
"Intensive Supervision Program - Prison","570","2.04%","","",""
"Earned Release Supervision","1,315","4.70%","","",""
"Medical Release","0","0.00%","","",""
"","3,883","13.88%","Community Inmate Total","",""
"TOTAL","27,973","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
8,520","58.82%","2,314","51.18%","10,834","57.01%"
"White
5,736","39.60%","2,145","47.45%","7,881","41.47%"
"Hispanic
77","0.53%","14","0.31%","91","0.48%"
"Native American
20","0.14%","5","0.11%","25","0.13%"
"Asian
34","0.23%","16","0.35%","50","0.26%"
"Data Unavailable
97","0.67%","27","0.60%","124","0.65%"
"TOTAL
14,484","100.00%","4,521","100.00%","19,005","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
2,416","12.72%","","","",""
"Property
10,163","53.51%","","","",""
"Drug
6,414","33.77%","","","",""
"TOTAL
18,993","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,116","66.91%","136","52.51%","1,252","64.97%"
"White
536","32.13%","119","45.95%","655","33.99%"
"Hispanic
10","0.60%","3 0","1.16%","13","0.67%"
"Native American
3","0.18%","","0.00%","23","0.16%"
"Asian
1","0.06%","1","0.39%","","0.10%"
"Data Unavailable
2","0.12%","0","0.00%","2","0.10%"
"TOTAL
1,668","100.00%","259","100.00%","1,927","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
532","27.65%","","","",""
"Property
681","35.40%","","","",""
"Drug
711","36.95%","","","",""
"TOTAL
1,924","100.00%","","","",""
