"% OF TOTAL OFFENSES","34.62%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,764"
"Lifers","","1,646"
"Habitual Offenders","","1,019"
"Habitual Lifers","","157"
"Death Row","","69"
