"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,782","57.75%","2,274","39.69%","13,056","53.51%"
"White","7,602","40.72%","3,373","58.87%","10,975","44.98%"
"Hispanic","147","0.79%","36",".63%","183",".75%"
"Native American","21",".11%","12",".21%","33",".14%"
"Asian","57",".31%","13",".23%","70",".29%"
"Data Unavailable","62",".33%","22",".38%","84",".34%"
"TOTAL","18,671","100.00%","5,730","100.00%","24,401","100.00%"
