"INMATE STATISTICS","","",""
"BY LOCATION","","",""
"","","NO. OF","% OF TOTAL"
"","CAPACITY","OFFENDERS","OFFENDERS"
"Mississippi State Penitentiary","3,590","2,732","13.35%"
"Central Mississippi Correctional Facility","4,094","3,454","16.87%"
"South Mississippi Correctional Institution","3,082","2,645","12.92%"
"Youthful Offender Facility","58","20","0.10%"
"County Jails - Approved","1,781","784","3.83%"
"County Jails - Unapproved","0","0","0.00%"
"Community Work Centers","1,154","554","2.71%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,759","10,189","49.78%"
"Regional Correctional Facilities","","",""
"Alcorn County Correctional Facility","300","300","1.47%"
"Bolivar County Correctional Facility","369","291","1.42%"
"Carroll County Correctional Facility","280","268","1.31%"
"Chickasaw County Correctional Facility","310","309","1.51%"
"George County Correctional Facility","280","341","1.67%"
"Holmes County Correctional Facility","280","278","1.36%"
"Issaquena County Correctional Facility","274","275","1.34%"
"Jefferson County Correctional Facility","280","282","1.38%"
"Kemper County Correctional Facility","355","353","1.72%"
"Leake County Correctional Facility","280","280","1.37%"
"Marion County Correctional Facility","280","397","1.94%"
"Stone County Correctional Facility","326","281","1.37%"
"Washington County Correctional Facility","300","133","0.65%"
"Winston County Correctional Facility","280","278","1.36%"
"Yazoo County Correctional Facility","300","299","1.46%"
"TOTAL REGIONAL FACILITIES","4,494","4,365","21.32%"
"Private Prisons","","",""
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,220","5.96%"
"Marshall County Correctional Facility","1,000","997","4.87%"
"Tallahatchie County Correctional Facility","1,500","375","1.83%"
"Wilkinson County Correctional Facility","1,000","865","4.23%"
"TOTAL PRIVATE PRISONS","5,972","3,457","16.89%"
