"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","10,265","37.31%"
"Property","13,084","47.56%"
"Violent","3,146","11.43%"
"Sex","1,018","3.70%"
"TOTAL","27,513","100.00%"
