"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","13,145","59.80%","3,139","47.63%","16,284","56.99%"
"White","8,509","38.71%","3,371","51.15%","11,880","41.58%"
"Hispanic","154",".70%","25",".38%","179",".63%"
"Native American","23",".10%","8",".12%","31",".11%"
"Asian","65",".30%","16",".24%","81",".28%"
"Data Unavailable","84",".38%","32",".49%","116",".41%"
"TOTAL","21,980","100.00%","6,591","100.00%","28,571","100.00%"
