"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","11,576","36.58%"
"Property","15,155","47.90%"
"Aggravated Assualt","1,296","4.10%"
"Violent","2,345","7.41%"
"Sex","1,270","4.01%"
"TOTAL","31,642","100.00%"
