"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","11,427","60.00%","2,733","48.42%","14,160","57.35%"
"White","7,305","38.36%","2,834","50.21%","10,139","41.07%"
"Hispanic","131",".69%","17",".30%","148",".60%"
"Native American","21",".11%","6",".11%","27",".11%"
"Asian","56",".29%","11",".19%","67",".27%"
"Data Unavailable","105",".55%","43",".76%","148",".60%"
"TOTAL","19,045","100.00%","5,644","100.00%","24,689","100.00%"
