"% OF TOTAL OFFENSES","29.79%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,943"
"Lifers","","1,675"
"Habitual Offenders","","1,399"
"Habitual Lifers","","212"
"Death Row","","60"
