"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","11,141","37.22%"
"Property","14,217","47.49%"
"Aggravated Assualt","1,226","4.10%"
"Violent","2,178","7.28%"
"Sex","1,174","3.92%"
"TOTAL","29,936","100.00%"
