"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,447","27.89%"
"Probation - Compact","1,059","2.83%"
"Probation - Nonadjudicated","4,299","11.48%"
"Probation - Post Release","11,708","31.26%"
"PROBATION TOTAL","27,513","73.46%"
"Parole","6,485","17.31%"
"Parole - Compact","332","0.89%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,817","18.20%"
"Intensive Supervision Program - Court","1,158","3.09%"
"Intensive Supervision Program - Prison","484","1.29%"
"Earned Release Supervision","1,446","3.86%"
"Medical Release","37",".10%"
"COMMUNITY INMATE TOTAL","3,125","8.34%"
"TOTAL","37,455","100.00%"
