"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS",""
"Mississippi State Penitentiary","5,711","5,530","40.42%",""
"Central Mississippi Correctional Facility","3,099","3,064","22.39%",""
"South Mississippi Correctional Institution","2,214","2,073","15.15%",""
"County Jails - Approved*","2,121","1,655","12.10%",""
"County Jails - Unapproved**","0","78","0.57%",""
"Community Work Centers","1350","1,283","9.38%",""
"","14,495","13,683","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","223","8.98%",""
"Carroll County Correctional Facility","250","228","9.18%",""
"GeorgeCounty Correctional Facility","250","226","9.10%",""
"Holmes County Correctional Facility","250","228","9.18%",""
"Issaquena County Correctional Facility","250","225","9.06%",""
"Jefferson County Correctional Facility","250","227","9.14%",""
"Kemper County Correctional Facility","250","225","9.06%",""
"Leake Correctional Facility","250","226","9.10%",""
"Marion County Correctional Facility","250","226","9.10%",""
"Stone County Correctional Facility","250","225","9.06%",""
"Winston County Correctional Facility","250","225","9.06%",""
"","2,750","2,484","100.00%","Regional Facilities"
"Private Prisons","","","",""
"East MS Correctional Facility","1,000","719","21.07%",""
"Marshall County Correctional Facility","1,000","985","28.87%",""
"Walnut Grove Correctional Facility","750","728","21.34%",""
"Wilkinson County Correctional Facility","1,000","980","28.72%",""
"","3,750","3,412","100.00%","Private Prisons"
"Community Trusties","30","20","0.09%",""
"Emergency Suspension","","14","0.06%",""
"Court Order","","292","1.28%",""
"TOTAL CAPACITY & CUSTODY POPULATION","21,025","19,905","87.48%",""
"Intensive Supervision Program","","1,473","6.47%",""
"Earned Release Supervision Program","","1,038","4.56%",""
"Medical Release","0 0 0 0 0","0","0.00%",""
"","","2,511","11.04%","Community Corrections"
"Other Custody","","238","1.05%",""
"University of MS Medical Center","0","8","0.04%",""
"At Large (Escapees & Walk-Aways)","0","92","0.40%",""
"TOTAL","21,025","22,754","100.00%","00"
