"% OF TOTAL OFFENSES","34.56%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,777"
"Lifers","","1,648"
"Habitual Offenders","","996"
"Habitual Lifers","","156"
"Death Row","","69"
