"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","9,598","58.76%","2,597","50.90%","12,195","56.89%"
"White","6,430","39.37%","2,400","47.04%","8,830","41.19%"
"Hispanic","109","0.67%","17","0.33%","126","0.59%"
"Native American","17","0.10%","4","0.08%","21","0.10%"
"Asian","38","0.23%","17","0.33%","55","0.26%"
"Data Unavailable","142","0.87%","67","1.31%","209","0.97%"
"TOTAL","16,334","100.00%","5,102","100.00%","21,436","100.00%"
