"","20",".37%","53",".22%"
"","5,437","100.00%","23,699","100.00%"
"BY OFFENSE","","","",""
"","","NO. OF","% of TOTAL",""
"OFFENSE","","OFFENDERS","OFFENDERS",""
"Drug","","9,006","38.00%",""
"Non-Violent","","9,975","42.09%",""
"Sex","","999","4.22%",""
"Violent","","3,719","15.69%",""
"TOTAL","","23,699","100.00%",""
