"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","13,768","59.43%","3,283","47.76%","17,051","56.76%"
"White","9,024","38.95%","3,496","50.86%","12,520","41.67%"
"Hispanic","165",".71%","29",".42%","194",".65%"
"Native American","23",".10%","5",".07%","28",".09%"
"Asian","81",".35%","18",".26%","99",".33%"
"Data Unavailable","107",".46%","43",".63%","150",".50%"
"TOTAL","23,168","100.00%","6,874","100.00%","30,042","100.00%"
