"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,342","16.07%"
"Central Mississippi Correctional Facility","3,750","3,323","15.98%"
"South Mississippi Correctional Institution","3,082","2,662","12.80%"
"Youthful Offender Facility","58","26","0.13%"
"County Jails - Approved","1,781","618","2.97%"
"County Jails - Unapproved","0","286","1.38%"
"Community Work Centers","1,154","660","3.17%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","10,917","52.49%"
"Alcorn County Correctional Facility","300","289","1.39%"
"Bolivar County Correctional Facility","369","290","1.39%"
"Carroll County Correctional Facility","280","264","1.27%"
"Chickasaw County Correctional Facility","310","304","1.46%"
"George County Correctional Facility","280","342","1.64%"
"Holmes County Correctional Facility","280","278","1.34%"
"Issaquena County Correctional Facility","274","270","1.30%"
"Jefferson County Correctional Facility","280","281","1.35%"
"Kemper County Correctional Facility","355","350","1.68%"
"Leake County Correctional Facility","280","279","1.34%"
"Marion County Correctional Facility","280","280","1.35%"
"Stone County Correctional Facility","326","325","1.56%"
"Washington County Correctional Facility","300","232","1.12%"
"Winston County Correctional Facility","280","279","1.34%"
"Yazoo County Correctional Facility","300","293","1.41%"
"TOTAL REGIONAL FACILITIES","4,494","4,356","20.94%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,258","6.05%"
"Marshall County Correctional Facility","1,000","997","4.79%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","922","4.43%"
"TOTAL PRIVATE PRISONS","5,972","3,177","15.27%"
