"","18",".33%","51",".21%"
"","5,446","100.00%","23,835","100.00%"
"BY OFFENSE","","","",""
"","","NO. OF","% of TOTAL",""
"OFFENSE","","OFFENDERS","OFFENDERS",""
"Drug","","9,092","38.15%",""
"Non-Violent","","10,020","42.04%",""
"Sex","","992","4.16%",""
"Violent","","3,731","15.65%",""
"TOTAL","","23,835","100.00%",""
