"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","","% OF"
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","14,522","70.29%","1,186","56.61%","15,708","69.03%"
"White","5,992","29.00%","890","42.48%","6,882","30.25%"
"Hispanic","98","0.47%","10","0.48%","108","0.47%"
"Native American","25","0.12%","3","0.14%","28","0.12%"
"Asian","21","0.10%","6 0","0.29%","27","0.12%"
"Data Unavailable","1","0.00%","","0.00%","1","0.00%"
"TOTAL","20,659","100.00%","2,095","100.00%","22,754","100.00%"
