"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","16,270","60.87%","3,721","47.58%","19,991","57.86%"
"White","10,082","37.72%","3,989","51.01%","14,071","40.73%"
"Hispanic","172","0.64%","47",".60%","219",".63%"
"Native American","29",".11%","8",".10%","37",".11%"
"Asian","79",".30%","21",".27%","100",".29%"
"Data Unavailable","99",".37%","34",".43%","133",".38%"
"TOTAL","26,731","100.00%","7,820","100.00%","34,551","100.00%"
