"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","9,871","58.91%","2,626","50.93%","12,497","57.04%"
"White","6,555","39.12%","2,424","47.01%","8,979","40.98%"
"Hispanic","112","0.67%","18","0.35%","130","0.59%"
"Native American","16","0.10%","4","0.08%","20","0.09%"
"Asian","39","0.23%","17","0.33%","56","0.26%"
"Data Unavailabl","162","0.97%","67","1.30%","229","1.05%"
"TOTAL","16,755","100.00%","5,156","100.00%","21,911","100.00%"
