"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","15,152","69.41%","1,221","53.27%","16,373","67.87%"
"White","6,474","29.66%","1,048","45.72%","7,522","31.18%"
"Hispanic","132","0.60%","11","0.48%","143","0.59%"
"Native American","21","0.10%","4","0.17%","25","0.10%"
"Asian","33","0.15%","5 3","0.22%","38","0.16%"
"Data Unavailable","19","0.09%","","0.13%","22","0.09%"
"TOTAL","21,831","100.00%","2,292","100.00%","24,123","100.00%"
