"% OF TOTAL OFFENSES","32.96%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,655"
"Lifers","","1,655"
"Habitual Offenders","","922"
"Habitual Lifers","","135"
"Death Row","","70"
