"At Large (Escapees & Walk-Aways)","","","0","24","0.12%","","",""
"TOTAL","","","24,225","20,792","100.00%","","",""
"BY RACE/SEX AND LOCATION","","","","","","","",""
"","","% OF","","% OF","","","% OF",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","","TOTAL",""
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","","OFFENDERS",""
"Black","12,224","63.70%","589","36.67%","12,814","","61.63%",""
"White","6,677","34.80%","1,000","62.27%","7,677","","36.92%",""
"Hispanic","201","1.05%","8",".50%","209","","1.01%",""
"Native American","26",".14%","5",".31%","31","",".15%",""
"Asian","52",".27%","1",".06%","53","",".25%",""
"Data Unavailable","9",".05%","3",".19%","12","",".06%",""
"TOTAL","19,189","100.00%","1,606","100.00%","20,792","","100.00%",""
"","Black","","White","Hispanic","Native American","Asian","","Data Unavailable TOTAL"
"LOCATION","Male","Female
Male","Female","Male
Female","Male
Female","Male","Female
Male","Female"
