"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","13,502","59.69%","3,221","47.37%","16,723","56.84%"
"White","8,784","38.83%","3,497","51.43%","12,281","41.74%"
"Hispanic","155",".69%","30",".44%","185",".63%"
"Native American","23",".10%","6",".09%","29",".10%"
"Asian","76",".34%","16",".24%","92",".31%"
"Data Unavailable","82",".36%","29",".43%","111",".38%"
"TOTAL","22,622","100.00%","6,799","100.00%","29,421","100.00%"
