"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","13,357","59.69%","3,190","47.39%","16,547","56.85%"
"White","8,695","38.86%","3,458","51.37%","12,153","41.75%"
"Hispanic","151",".67%","29",".43%","180",".62%"
"Native American","24",".11%","9",".13%","33",".11%"
"Asian","71",".32%","16",".24%","87",".30%"
"Data Unavailable","78",".35%","30",".45%","108",".37%"
"TOTAL","22,376","100.00%","6,732","100.00%","29,108","100.00%"
