"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","5,612","16.03%"
"Probation - Compact","1,334","3.81%"
"Probation - Nonadjudicated","3,561","10.17%"
"Probation - Post Release","13,744","39.27%"
"TVC Probation","141","0.40%"
"PROBATION TOTAL","24,392","69.69%"
"Parole","8,350","23.86%"
"Parole - Compact","552","1.58%"
"Parole - Suspension","0","0.00%"
"TVC Parole","281","0.80%"
"PAROLE TOTAL","9,183","26.24%"
"Intensive Supervision Program - Court","782","2.23%"
"Intensive Supervision Program - Prison","44","0.13%"
"Earned Release Supervision","579","1.65%"
"Medical Release","14","0.04%"
"FTR- Monitoring","6","0.02%"
"Conditional Release","2","0.006%"
"COMMUNITY INMATE TOTAL","1,427","4.08%"
"TOTAL","35,002","100.00%"
