"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,769","69.95%","1,225","56.48%","15,994","68.70%"
"White","6,183","29.29%","925","42.65%","7,108","30.53%"
"Hispanic","109","0.52%","8","0.37%","117","0.50%"
"Native American","27","0.13%","2","0.09%","29","0.12%"
"Asian","24","0.11%","9 0","0.41%","33","0.14%"
"Data Unavailable","1","0.00%","","0.00%","1","0.00%"
"TOTAL","21,113","100.00%","2,169","100.00%","23,282","100.00%"
