"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,849","69.83%","1,230","55.71%","16,079","68.50%"
"White","6,244","29.36%","958","43.39%","7,202","30.68%"
"Hispanic","116","0.55%","8","0.36%","124","0.53%"
"Native American","27","0.13%","5","0.23%","32","0.14%"
"Asian","29","0.14%","7 0","0.32%","36","0.15%"
"Data Unavailable","1","0.00%","","0.00%","1","0.00%"
"TOTAL","21,266","100.00%","2,208","100.00%","23,474","100.00%"
