"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,916","59.83%","2,879","48.09%","14,795","57.11%"
"White","7,678","38.55%","3,021","50.46%","10,699","41.30%"
"Hispanic","132",".66%","22",".37%","154",".59%"
"Native American","16",".08%","6",".10%","22",".08%"
"Asian","63",".32%","14",".23%","77",".30%"
"Data Unavailable","113",".57%","45",".75%","158",".61%"
"TOTAL","19,918","100.00%","5,987","100.00%","25,905","100.00%"
