"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","11,494","58.23%","2,769","48.40%","14,263","56.02%"
"White","7,724","39.13%","2,809","49.10%","10,533","41.37%"
"Hispanic","185","0.94%","24","0.42%","209","0.82%"
"Native American","29","0.15%","5","0.09%","34","0.13%"
"Asian","54","0.27%","11","0.19%","65","0.26%"
"Data Unavailable","253","1.28%","103","1.80%","356","1.40%"
"TOTAL","19,739","100.00%","5,721","100.00%","25,460","100.00%"
