"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,511","59.33%","365","29.82%","4,876","55.24%"
"White","3,015","817.00%","847","69.20%","3,862","43.75%"
"Hispanic","38",".50%","6",".49%","44",".50%"
"Native American","12",".16%","3",".25%","15",".17%"
"Asian","24",".32%","3",".25%","27",".31%"
"Data Unavailable","3",".04%","0",".00%","3",".03%"
"TOTAL","7,603","100.00%","1,224","100.00%","8,827","100.00%"
