"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","14,307","60.30%","3,385","48.01%","17,692","57.48%"
"White","9,055","38.16%","3,568","50.60%","12,623","41.01%"
"Hispanic","166",".70%","38",".54%","204",".66%"
"Native American","27",".11%","6",".09%","33",".11%"
"Asian","76",".32%","18",".26%","94",".31%"
"Data Unavailable","95",".40%","36",".51%","131",".43%"
"TOTAL","23,726","100.00%","7,051","100.00%","30,777","100.00%"
