"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","10,440","58.49%","2,401","46.15%","12,841","55.70%"
"White","6,955","38.97%","2,682","51.55%","9,637","41.81%"
"Hispanic","150","0.84%","22","0.42%","172","0.75%"
"Native American","22","0.12%","","0.04%","24","0.10%"
"Asian","46","0.26%","42","0.08%","50","0.22%"
"Data Unavailable","236","1.32%","92","1.77%","328","1.42%"
"TOTAL","17,849","100.00%","5,203","100.00%","23,052","100.00%"
