"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","13,843","59.66%","3,283","47.57%","17,126","56.88%"
"White","8,995","38.76%","3,535","51.22%","12,530","41.62%"
"Hispanic","167",".72%","31",".45%","198",".66%"
"Native American","23",".10%","6",".09%","29",".10%"
"Asian","83",".36%","17",".25%","100",".33%"
"Data Unavailable","94",".41%","30",".43%","124",".41%"
"TOTAL","23,205","100.00%","6,902","100.00%","30,107","100.00%"
