"% OF TOTAL OFFENSES","33.71%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,931"
"Lifers","","1,642"
"Habitual Offenders","","1,288"
"Habitual Lifers","","200"
"Death Row","","60"
