"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","5,775","16.50%"
"Probation - Compact","1,242","3.55%"
"Probation - Nonadjudicated","3,547","10.13%"
"Probation - Post Release","15,108","43.16%"
"TVC Probation","131","0.37%"
"PROBATION TOTAL","25,803","73.71%"
"Parole","7,232","20.66%"
"Parole - Compact","560","1.60%"
"Parole - Suspension","0","0.00%"
"TVC Parole","59","0.17%"
"PAROLE TOTAL","7,851","22.43%"
"Intensive Supervision Program - Court","711","2.03%"
"Intensive Supervision Program - Prison","21","0.06%"
"Earned Release Supervision","551","1.57%"
"Medical Release","11","0.03%"
"FTR- Monitoring","3","0.01%"
"Transitional Housing","1","0.00%"
"RRP","52","0.15%"
"Conditional Release","2","0.006%"
"COMMUNITY INMATE TOTAL","1,352","6.69%"
"TOTAL","35,006","100.00%"
