"At Large (Escapees & Walk-Aways)","","","0","25","0.12%","","",""
"TOTAL","","","23,881","21,183","100.00%","","",""
"BY RACE/SEX AND LOCATION","","","","","","","",""
"","","% OF","","% OF","","","% OF",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","","TOTAL",""
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","","OFFENDERS",""
"Black","12,532","64.29%","612","36.21%","13,144","","62.05%",""
"White","6,685","34.29%","1,056","62.49%","7,741","","36.54%",""
"Hispanic","197","1.01%","14",".83%","211","","1.00%",""
"Native American","25",".13%","4",".24%","29","",".14%",""
"Asian","49",".25%","3",".18%","52","",".25%",""
"Data Unavailable","5",".03%","1",".06%","6","",".03%",""
"TOTAL","19,493","100.00%","1,690","100.00%","21,183","","100.00%",""
"","Black","","White","Hispanic","Native American","Asian","","Data Unavailable TOTAL"
"LOCATION","Male","Female
Male","Female","Male
Female","Male
Female","Male","Female
Male","Female"
