"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","","% OF"
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","14,583","70.37%","1,191","56.90%","15,774","69.14%"
"White","6,003","28.97%","885","42.28%","6,888","30.19%"
"Hispanic","93","0.45%","9","0.43%","102","0.45%"
"Native American","23","0.11%","3","0.14%","26","0.11%"
"Asian","20","0.10%","","0.24%","25","0.11%"
"Data Unavailable","1","0.00%","5 0","0.00%","1","0.00%"
"TOTAL","20,723","100.00%","2,093","100.00%","22,816","100.00%"
