"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,280","58.57%","2,582","47.40%","13,862","56.11%"
"White","7,475","38.81%","2,736","50.23%","10,211","41.33%"
"Hispanic","196","1.02%","24","0.44%","220","0.89%"
"Native American","26","0.13%","3","0.06%","29","0.12%"
"Asian","52","0.27%","12","0.22%","64","0.26%"
"Data Unavailable","231","1.20%","90","1.65%","321","1.30%"
"TOTAL","19,260","100.00%","5,447","100.00%","24,707","100.00%"
