"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,435","3,398","26.58%"
"Central Mississippi Correctional Facility","3,449","3,315","25.93%"
"South Mississippi Correctional Institution","3,204","3,131","24.49%"
"County Jails - Approved*","1,492","1,019","7.97%"
"County Jails - Unapproved**","0","281","2.20%"
"Community Work Centers","1,848","1,640","12.83%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,428","12,784","100.00%"
"Bolivar County Correctional Facility","294","235","9.33%"
"Carroll County Correctional Facility","280","224","8.89%"
"George County Correctional Facility","280","221","8.77%"
"Holmes County Correctional Facility","280","223","8.85%"
"Issaquena County Correctional Facility","274","219","8.69%"
"Jefferson County Correctional Facility","280","222","8.81%"
"Kemper County Correctional Facility","355","281","11.16%"
"Leake County Correctional Facility","280","224","8.89%"
"Marion County Correctional Facility","280","224","8.89%"
"Stone County Correctional Facility","280","223","8.85%"
"Winston County Correctional Facility","280","223","8.85%"
"TOTAL REGIONAL FACILITIES","3,163","2,519","100.00%"
"Delta Correctional Facility","972","904","17.01%"
"East MS Correctional Facility","1,500","1,359","25.57%"
"Marshall County Correctional Facility","1,000","898","16.90%"
"Walnut Grove Correctional Facility","1,500","1,194","22.47%"
"Wilkinson County Correctional Facility","1,000","959","18.05%"
"TOTAL PRIVATE PRISONS","5,972","5,314","100.00%"
"Community Trusties","2","12",".05%"
"Emergency Suspension","02","0",".00%"
"Pending File Review","","79",".32%"
"Court Order","00","243","1.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,585","20,951","85.79%"
"Intensive Supervision Program","0","1,559","6.38%"
"Earned Release Supervision Program","","1,456","5.96%"
"Medical Release","00","44",".18%"
"TOTAL COMMUNITY CORRECTIONS","00","3,059","12.53%"
"Other Custody","","359","1.47%"
"Off-Grounds Medical (Hospital)","0","",".03%"
"At Large (Escapees & Walk-Aways)","0","84
3",".18%"
"TOTAL","23,585","24,420","100.00%"
