"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,232","15.38%"
"Central Mississippi Correctional Facility","3,750","3,636","17.30%"
"South Mississippi Correctional Institution","3,082","2,645","12.58%"
"Youthful Offender Facility","58","23","0.11%"
"County Jails - Approved","1,781","720","3.43%"
"County Jails - Unapproved","0","252","1.20%"
"Community Work Centers","1,154","604","2.87%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,112","52.87%"
"Alcorn County Correctional Facility","300","300","1.43%"
"Bolivar County Correctional Facility","369","293","1.39%"
"Carroll County Correctional Facility","280","274","1.30%"
"Chickasaw County Correctional Facility","310","308","1.47%"
"George County Correctional Facility","280","314","1.49%"
"Holmes County Correctional Facility","280","279","1.33%"
"Issaquena County Correctional Facility","274","314","1.49%"
"Jefferson County Correctional Facility","280","279","1.33%"
"Kemper County Correctional Facility","355","354","1.68%"
"Leake County Correctional Facility","280","280","1.33%"
"Marion County Correctional Facility","280","280","1.33%"
"Stone County Correctional Facility","326","278","1.32%"
"Washington County Correctional Facility","300","169","0.80%"
"Winston County Correctional Facility","280","277","1.32%"
"Yazoo County Correctional Facility","300","300","1.43%"
"TOTAL REGIONAL FACILITIES","4,494","4,299","20.45%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,241","5.90%"
"Marshall County Correctional Facility","1,000","997","4.74%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","931","4.43%"
"TOTAL PRIVATE PRISONS","5,972","3,169","15.08%"
