"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","11,754","60.58%","2,460","43.27%","14,214","56.65%"
"White","7,408","38.18%","3,142","55.27%","10,550","42.05%"
"Hispanic","145","0.75%","34",".60%","179",".71%"
"Native American","18",".09%","14",".25%","32",".13%"
"Asian","51",".26%","11",".19%","62",".25%"
"Data Unavailable","28",".14%","24",".42%","52",".21%"
"TOTAL","19,404","100.00%","5,685","100.00%","25,089","100.00%"
