"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","16,493","60.46%","3,746","47.06%","20,239","57.43%"
"White","10,399","38.12%","4,095","51.44%","14,494","41.13%"
"Hispanic","181","0.66%","53",".67%","234",".66%"
"Native American","30",".11%","10",".13%","40",".11%"
"Asian","84",".31%","23",".29%","107",".30%"
"Data Unavailable","94",".34%","33",".41%","127",".36%"
"TOTAL","27,281","100.00%","7,960","100.00%","35,241","100.00%"
