"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","14,879","60.83%","3,446","47.97%","18,325","57.91%"
"White","9,222","37.70%","3,634","50.59%","12,856","40.63%"
"Hispanic","164",".67%","40",".56%","204",".64%"
"Native American","29",".12%","8",".11%","37",".12%"
"Asian","71",".29%","17",".24%","88",".28%"
"Data Unavailable","94",".38%","38",".53%","132",".42%"
"TOTAL","24,459","100.00%","7,183","100.00%","31,642","100.00%"
