"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","11,288","58.47%","2,932","50.93%","14,220","56.74%"
"White","7,605","39.40%","2,696","46.83%","10,301","41.10%"
"Hispanic","137","0.71%","21","0.36%","158","0.63%"
"Native American","23","0.12%","5","0.09%","28","0.11%"
"Asian","48","0.25%","19","0.33%","67","0.27%"
"Data Unavailable","203","1.05%","84","1.46%","287","1.15%"
"TOTAL","19,304","100.00%","5,757","100.00%","25,061","100.00%"
