"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","16,754","60.41%","3,802","47.03%","20,556","57.39%"
"White","10,573","38.13%","4,159","51.44%","14,732","41.13%"
"Hispanic","197","0.71%","54",".67%","251",".70%"
"Native American","29",".10%","11",".14%","40",".11%"
"Asian","91",".33%","23",".28%","114",".32%"
"Data Unavailable","88",".32%","36",".45%","124",".35%"
"TOTAL","27,732","100.00%","8,085","100.00%","35,817","100.00%"
