"% OF TOTAL OFFENSES","35.92%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,880"
"Lifers","","1,648"
"Habitual Offenders","","1,225"
"Habitual Lifers","","191"
"Death Row","","61"
