"% OF TOTAL OFFENSES","35.69%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,800"
"Lifers","","1,664"
"Habitual Offenders","","1,099"
"Habitual Lifers","","172"
"Death Row","","65"
