"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","16,403","54.39%"
"Probation - Compact (from other states)","1,238","4.11%"
"Probation - Nonadjudicated","1,854","6.15%"
"Probation - Post Release","4,767","15.81%"
"PROBATION TOTAL","24,262","80.45%"
"Parole","1,976","6.55%"
"Parole - Compact (from other states)","512","1.70%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,488","8.25%"
"Intensive Supervision Program - Court","1,315","4.36%"
"Intensive Supervision Program - Prison","291","0.96%"
"Earned Release Supervision","1,791","5.94%"
"Medical Release","11","0.04%"
"COMMUNITY INMATE TOTAL","3,408","11.30%"
"TOTAL","30,158","100.00%"
